date,avg_price,volume,ticker
2023-01-01,16561.335,335220861.58,BTC
2023-01-02,16656.11,503360386.62,BTC
2023-01-03,16685.855,628582193.83,BTC
2023-01-04,16811.82,990689260.54,BTC
2023-01-05,16817.239999999998,524511536.58,BTC
2023-01-06,16850.595,883642131.54,BTC
2023-01-07,16939.004999999997,196915427.54,BTC
2023-01-08,17022.745,359149910.85,BTC
2023-01-09,17245.395,1271943559.93,BTC
2023-01-10,17316.465,997764944.91,BTC
2023-01-11,17655.58,1113334370.52,BTC
2023-01-12,18499.355000000003,2252897545.61,BTC
2023-01-13,19354.84,1820146569.6,BTC
2023-01-14,20575.46,2223938908.13,BTC
2023-01-15,20811.675,924310249.74,BTC
2023-01-16,21037.36,1399257790.94,BTC
2023-01-17,21210.795,1181967488.8,BTC
2023-01-18,21018.14,1733563128.99,BTC
2023-01-19,20925.71,1141134569.38,BTC
2023-01-20,21804.574999999997,1793127005.71,BTC
2023-01-21,22896.48,2212422402.47,BTC
2023-01-22,22707.675000000003,1419749432.93,BTC
2023-01-23,22870.165,1622068993.43,BTC
2023-01-24,22822.309999999998,1788469593.53,BTC
2023-01-25,23077.82,2010835832.21,BTC
2023-01-26,23069.21,1477492373.79,BTC
2023-01-27,23039.795,1499524205.45,BTC
2023-01-28,23038.635000000002,465656885.65,BTC
2023-01-29,23464.73,1356557545.16,BTC
2023-01-30,23186.815,1699735992.01,BTC
2023-01-31,22998.275,1144361734.86,BTC
2023-02-01,23296.115,1166002955.1,BTC
2023-02-02,23826.11,1378661476.28,BTC
2023-02-03,23470.335,961229252.16,BTC
2023-02-04,23425.53,334962158.54,BTC
2023-02-05,23113.33,628865943.88,BTC
2023-02-06,22901.715,918256802.27,BTC
2023-02-07,23047.945,852489794.18,BTC
2023-02-08,23048.120000000003,746102368.06,BTC
2023-02-09,22370.915,1626493846.29,BTC
2023-02-10,21717.7,1139170302.72,BTC
2023-02-11,21754.364999999998,371394433.41,BTC
2023-02-12,21870.55,601407332.2,BTC
2023-02-13,21651.34,1271661452.37,BTC
2023-02-14,21947.985,1121665134.71,BTC
2023-02-15,23199.215,1636571319.77,BTC
2023-02-16,24377.895,2195432803.47,BTC
2023-02-17,24190.65,2024871806.46,BTC
2023-02-18,24654.629999999997,550069111.96,BTC
2023-02-19,24714.205,1073608902.53,BTC
2023-02-20,24485.995,1341924666.63,BTC
2023-02-21,24692.475,1699888067.11,BTC
2023-02-22,24034.775,1707889533.14,BTC
2023-02-23,24112.185,1630064365.85,BTC
2023-02-24,23478.120000000003,1610829236.2,BTC
2023-02-25,23013.695,569329617.92,BTC
2023-02-26,23369.71,632282012.46,BTC
2023-02-27,23516.285,1057863335.56,BTC
2023-02-28,23316.96,814380395.42,BTC
2023-03-01,23508.120000000003,1070132297.9,BTC
2023-03-02,23502.6,813452928.16,BTC
2023-03-03,22806.06,1328714697.97,BTC
2023-03-04,22293.934999999998,264342272.32,BTC
2023-03-05,22440.985,468467084.05,BTC
2023-03-06,22453.5,607585243.32,BTC
2023-03-07,22246.12,865083425.31,BTC
2023-03-08,21945.46,907354581.02,BTC
2023-03-09,20968.44,1584851678.8,BTC
2023-03-10,19985.36,2103890132.26,BTC
2023-03-11,20371.605000000003,1416403424.21,BTC
2023-03-12,21334.6,1352204877.06,BTC
2023-03-13,23246.425,2198916015.73,BTC
2023-03-14,25297.120000000003,2783419006.43,BTC
2023-03-15,24609.245000000003,1826358018.09,BTC
2023-03-16,24715.84,1372954004.0,BTC
2023-03-17,26364.39,2554985216.53,BTC
2023-03-18,27202.565000000002,1335463761.57,BTC
2023-03-19,27671.535,1337898482.67,BTC
2023-03-20,27883.83,1838684361.11,BTC
2023-03-21,27955.835,1282225223.57,BTC
2023-03-22,27789.835,2277940781.79,BTC
2023-03-23,27998.975,1769187941.89,BTC
2023-03-24,27738.35,1456957038.0,BTC
2023-03-25,27503.25,618098148.62,BTC
2023-03-26,27833.245000000003,734596186.26,BTC
2023-03-27,27298.395,1256153698.38,BTC
2023-03-28,27082.945,997573892.51,BTC
2023-03-29,27948.965,1396887121.69,BTC
2023-03-30,28453.16,1666973949.92,BTC
2023-03-31,28102.23,1278854661.75,BTC
2023-04-01,28540.230000000003,446928904.2,BTC
2023-04-02,28211.239999999998,461356032.51,BTC
2023-04-03,27895.405,1328993515.18,BTC
2023-04-04,28056.715,911124090.2,BTC
2023-04-05,28304.54,1072312476.98,BTC
2023-04-06,27963.785,730428566.02,BTC
2023-04-07,27948.82,407205241.71,BTC
2023-04-08,28024.14,259437156.74,BTC
2023-04-09,28182.415,459285638.27,BTC
2023-04-10,28978.285,1211248945.3,BTC
2023-04-11,30085.42,1420381272.66,BTC
2023-04-12,30105.265,1094799669.68,BTC
2023-04-13,30242.915,967351995.59,BTC
2023-04-14,30518.05,1491399385.72,BTC
2023-04-15,30426.36,413221716.15,BTC
2023-04-16,30358.955,524392638.12,BTC
2023-04-17,29798.614999999998,1037503329.39,BTC
2023-04-18,29810.265,1095189891.18,BTC
2023-04-19,29517.765,1600523152.28,BTC
2023-04-20,28551.035,1180562733.76,BTC
2023-04-21,27769.32,1207725781.37,BTC
2023-04-22,27517.135000000002,479603472.21,BTC
2023-04-23,27587.425,504160726.43,BTC
2023-04-24,27493.6,940115640.57,BTC
2023-04-25,27797.690000000002,876191270.4,BTC
2023-04-26,28638.870000000003,2278451179.33,BTC
2023-04-27,29144.15,1850604653.99,BTC
2023-04-28,29260.55,1030276785.7,BTC
2023-04-29,29267.955,332020115.89,BTC
2023-04-30,29536.3,685897041.94,BTC
2023-05-01,28510.505,1246630368.83,BTC
2023-05-02,28397.545,927486609.7,BTC
2023-05-03,28715.04,1150554649.51,BTC
2023-05-04,29039.59,799149017.42,BTC
2023-05-05,29276.745,1039027772.96,BTC
2023-05-06,29151.54,713641803.94,BTC
2023-05-07,28879.64,480627306.93,BTC
2023-05-08,28091.214999999997,1136175854.67,BTC
2023-05-09,27736.995,634693185.14,BTC
2023-05-10,27585.489999999998,1162217682.96,BTC
2023-05-11,27187.195,802346192.21,BTC
2023-05-12,26463.114999999998,1123450368.34,BTC
2023-05-13,26874.475,335722601.8,BTC
2023-05-14,26900.735,319668371.39,BTC
2023-05-15,27213.739999999998,764041771.98,BTC
2023-05-16,27087.21,649282623.49,BTC
2023-05-17,27026.72,788279620.49,BTC
2023-05-18,26928.15,749234030.86,BTC
2023-05-19,26923.76,442561192.0,BTC
2023-05-20,27002.364999999998,199050865.32,BTC
2023-05-21,26985.565000000002,322799242.35,BTC
2023-05-22,26816.175000000003,474287648.56,BTC
2023-05-23,27144.18,578611517.74,BTC
2023-05-24,26658.975,843296169.29,BTC
2023-05-25,26243.885000000002,604389199.53,BTC
2023-05-26,26639.815,542617989.88,BTC
2023-05-27,26743.739999999998,198605797.63,BTC
2023-05-28,27519.545,543751511.42,BTC
2023-05-29,27998.765,604161699.4,BTC
2023-05-30,27810.83,656814149.04,BTC
2023-05-31,27345.195,770131646.3,BTC
2023-06-01,26988.08,645324727.67,BTC
2023-06-02,26912.114999999998,643162971.0,BTC
2023-06-03,27138.605,219785033.16,BTC
2023-06-04,27207.665,248793311.51,BTC
2023-06-05,26273.434999999998,973121005.98,BTC
2023-06-06,26380.245000000003,1007782393.96,BTC
2023-06-07,26777.7,816508052.84,BTC
2023-06-08,26520.79,401604313.0,BTC
2023-06-09,26534.114999999998,439912147.38,BTC
2023-06-10,25978.815000000002,809187356.13,BTC
2023-06-11,25935.07,341057974.45,BTC
2023-06-12,25864.489999999998,441188405.58,BTC
2023-06-13,26071.41,599487905.69,BTC
2023-06-14,25455.309999999998,684056303.1,BTC
2023-06-15,25253.355,824201465.11,BTC
2023-06-16,25842.385000000002,715401866.52,BTC
2023-06-17,26475.85,331591669.75,BTC
2023-06-18,26473.755,248624880.04,BTC
2023-06-19,26650.83,477713441.96,BTC
2023-06-20,27527.71,1265530107.38,BTC
2023-06-21,29528.715,1710075101.48,BTC
2023-06-22,30055.69,1034077333.64,BTC
2023-06-23,30617.235,1263857697.39,BTC
2023-06-24,30544.17,399256498.04,BTC
2023-06-25,30674.635000000002,410384145.76,BTC
2023-06-26,30294.735,656487409.95,BTC
2023-06-27,30622.895,683163079.08,BTC
2023-06-28,30288.305,577536151.3,BTC
2023-06-29,30438.53,654120553.86,BTC
2023-06-30,30368.975,1438707503.25,BTC
2023-07-01,30487.27,221634243.18,BTC
2023-07-02,30485.045,264438993.35,BTC
2023-07-03,30981.934999999998,606995802.76,BTC
2023-07-04,30984.989999999998,411450957.26,BTC
2023-07-05,30539.114999999998,484235780.2,BTC
2023-07-06,30695.145,942103548.67,BTC
2023-07-07,30087.8,584908167.72,BTC
2023-07-08,30219.925,192238272.3,BTC
2023-07-09,30257.84,216124236.01,BTC
2023-07-10,30504.715,674592681.26,BTC
2023-07-11,30560.004999999997,539220942.45,BTC
2023-07-12,30595.879999999997,755704294.14,BTC
2023-07-13,31052.015,1314075890.88,BTC
2023-07-14,30783.04,1021600213.08,BTC
2023-07-15,30331.015,149344124.18,BTC
2023-07-16,30267.29,224532522.64,BTC
2023-07-17,30007.595,558752237.54,BTC
2023-07-18,29891.145,560798877.42,BTC
2023-07-19,29979.440000000002,446435257.92,BTC
2023-07-20,29997.89,577250260.25,BTC
2023-07-21,29898.565000000002,395907301.04,BTC
2023-07-22,29817.87,182484169.27,BTC
2023-07-23,30042.24,244328645.64,BTC
2023-07-24,29479.36,744538575.95,BTC
2023-07-25,29211.04,354541899.17,BTC
2023-07-26,29390.895,486510821.91,BTC
2023-07-27,29324.515,373268935.18,BTC
2023-07-28,29324.845,342975082.63,BTC
2023-07-29,29332.355,146316009.97,BTC
2023-07-30,29246.635000000002,224246250.77,BTC
2023-07-31,29316.905,426457343.16,BTC
2023-08-01,29142.785,822433494.24,BTC
2023-08-02,29471.760000000002,838251477.68,BTC
2023-08-03,29171.32,450334651.17,BTC
2023-08-04,29051.73,375805085.38,BTC
2023-08-05,29032.67,120051247.27,BTC
2023-08-06,29063.785,126689336.09,BTC
2023-08-07,28958.82,475156597.17,BTC
2023-08-08,29661.120000000003,786792606.34,BTC
2023-08-09,29738.645,532770863.32,BTC
2023-08-10,29513.565000000002,375142806.93,BTC
2023-08-11,29377.480000000003,310027638.11,BTC
2023-08-12,29413.6,102819295.5,BTC
2023-08-13,29352.195,115373186.78,BTC
2023-08-14,29373.5,362522208.47,BTC
2023-08-15,29258.815000000002,299026558.28,BTC
2023-08-16,28962.215,479152538.98,BTC
2023-08-17,27040.04,1394530695.43,BTC
2023-08-18,26226.375,888090076.41,BTC
2023-08-19,26031.82,265159375.46,BTC
2023-08-20,26137.59,192271431.08,BTC
2023-08-21,26034.059999999998,430024076.12,BTC
2023-08-22,25753.699999999997,514473682.56,BTC
2023-08-23,26305.15,672652092.31,BTC
2023-08-24,26212.6,449180401.68,BTC
2023-08-25,26025.355000000003,489263026.85,BTC
2023-08-26,26044.385000000002,93024725.64,BTC
2023-08-27,26067.77,107924452.3,BTC
2023-08-28,26047.684999999998,302943657.3,BTC
2023-08-29,27032.985,1089036684.85,BTC
2023-08-30,27401.45,520197058.0,BTC
2023-08-31,26623.43,741278108.53,BTC
2023-09-01,25730.29,639696809.37,BTC
2023-09-02,25854.985,181289556.36,BTC
2023-09-03,25960.77,160541183.85,BTC
2023-09-04,25862.82,228454428.06,BTC
2023-09-05,25723.085,280146729.52,BTC
2023-09-06,25699.745,390027105.24,BTC
2023-09-07,26013.605,491838528.79,BTC
2023-09-08,26047.255,482397556.59,BTC
2023-09-09,25868.254999999997,105931726.4,BTC
2023-09-10,25804.93,217583144.54,BTC
2023-09-11,25400.58,619642052.88,BTC
2023-09-12,25836.805,937711286.48,BTC
2023-09-13,26100.620000000003,495397769.94,BTC
2023-09-14,26491.065000000002,649517751.61,BTC
2023-09-15,26552.239999999998,459310066.65,BTC
2023-09-16,26615.835,187703875.45,BTC
2023-09-17,26517.66,151125765.17,BTC
2023-09-18,26910.255,797114111.3,BTC
2023-09-19,27085.225,670630172.73,BTC
2023-09-20,27101.645,581302466.15,BTC
2023-09-21,26767.775,559336631.68,BTC
2023-09-22,26608.455,408613785.26,BTC
2023-09-23,26581.665,139605320.21,BTC
2023-09-24,26439.85,260953441.64,BTC
2023-09-25,26218.095,518905094.49,BTC
